apol,bpol,nHBAcc_Lipinski,nHBDon_Lipinski,TopoPSA,HybRatio,Exchem_GAFF_Trappe,PMV_GAFF_Trappe,Exchem_GAFF,PMV_GAFF,LogKDW
7.520758,6.559242,0.00000,0.00000,0,1,1.11696744,349.058777,15.3384094,71.4602585,1.85
13.978344,9.703656,2.00000,1.00000,37.3,0.75,-0.882602632,343.720734,16.9480839,120.151207,-1.41
21.820344,9.703656,3.00000,2.00000,57.53,0.125,-2.23889923,376.007294,21.1874752,169.341614,-3.15
22.514723,11.365277,1.00000,2.00000,26.02,0.25,-1.03830862,437.541931,26.2753716,167.082428,0.62
23.316723,11.365277,2.00000,3.00000,46.25,0.25,-1.91244495,400.059387,22.6962872,172.141068,-1.35
26.410309,14.871691,2.00000,2.00000,32.26,0.333333333,-2.3088131,432.397278,27.9209824,195.016998,-1.75
29.503895,18.378105,2.00000,1.00000,23.47,0.4,-2.45430112,471.729614,32.8152924,218.26239,-0.9
26.410309,15.467691,2.00000,2.00000,35.25,0.333333333,-2.14282703,442.205444,29.8508549,196.585938,0.65
29.503895,18.974105,2.00000,1.00000,21.26,0.4,-2.61031246,467.912201,35.4310608,220.588654,1.12
21.018344,9.703656,2.00000,1.00000,37.3,0.125,-2.14619279,364.881226,23.9021606,162.60553,-0.045757491
22.531551,9.030449,2.00000,1.00000,37.3,0.125,-2.32109952,396.811615,23.5285912,179.411316,-0.27572413
24.91393,13.80607,3.00000,1.00000,46.53,0.222222222,-2.84630251,398.001343,24.4271526,192.684753,-0.958607315
23.211551,9.270449,3.00000,1.00000,61.09,0.125,-3.1528821,361.240753,24.1539364,185.463745,-1.769551079
21.820344,9.703656,3.00000,2.00000,57.53,0.125,-2.69015479,348.246521,17.7896481,166.503754,-3.13667714
24.382344,10.661656,4.00000,2.00000,74.6,0.111111111,-3.20759416,374.342285,19.1813507,190.997284,-3.920818754
25.347137,11.094863,4.00000,3.00000,80.39,0.111111111,-3.25959468,375.368805,18.1256847,193.73645,-4.397940009
28.440723,14.601277,4.00000,2.00000,66.4,0.2,-3.55416799,419.23349,26.7187347,219.894638,-3.468521083
29.95393,13.92807,4.00000,2.00000,66.4,0.2,-3.76464987,454.109985,30.2881298,235.888077,-3.698970004
32.336309,18.703691,5.00000,2.00000,75.63,0.272727273,-3.68652153,490.194794,32.1552505,252.334808,-4.37675071
30.63393,14.16807,5.00000,2.00000,90.19,0.2,-4.68537092,409.584229,30.6272869,240.833496,-5.193820026
29.242723,14.601277,5.00000,3.00000,86.63,0.2,-4.38141012,384.526093,27.8766098,224.367386,-6.552841969
31.804723,15.559277,6.00000,3.00000,103.7,0.181818182,-4.67164612,424.912659,28.4091091,245.612579,-7.346787486
32.769516,15.992484,6.00000,4.00000,109.49,0.181818182,-4.92158556,414.997467,29.1146736,249.806412,-7.823908741
2.135586,0.270414,1.00000,2.00000,18.01056468,0.1673,1.30738258,252.078583,-2.38298583,24.744215,-3.920818754
4.697586,3.144414,2.00000,1.00000,37.3,0,-0.120021529,220.299896,2.31979942,50.1111298,-3.207608311
7.791172,5.330828,2.00000,1.00000,37.3,0.5,-0.380638599,263.031982,7.24116945,73.8309708,-2.886056648
8.755965,5.764035,2.00000,2.00000,43.09,0.5,-0.404141366,268.340729,5.00591421,77.4055405,-3.886056648
17.633965,9.426035,5.00000,3.00000,80.48,0,-4.51627731,138.626968,3.19061375,123.789162,-5.236572006
17.924758,7.517242,2.00000,1.00000,37.3,0,-1.9314847,324.360229,19.2990818,139.047836,-0.508638306
26.298344,9.703656,2.00000,1.00000,37.3,0,-3.27378011,358.390839,27.2235069,189.723892,0.342422681
26.298344,9.703656,2.00000,1.00000,37.3,0,-3.32790732,363.889557,27.4595795,189.980484,0.755874856
34.67193,11.89007,2.00000,1.00000,37.3,0,-4.43726158,415.704956,35.6993141,240.043533,0.806179974
33.372309,21.407691,7.00000,3.00000,99.08,0.5,-6.5157733,286.4133,29.236599,241.427429,-4.193820026
34.174309,21.407691,8.00000,4.00000,119.31,0.5,-7.08539724,268.111633,25.6062622,245.191116,-5.619788758
59.640204,32.525796,5.00000,3.00000,94.83,0.714285714,-6.89632654,559.539917,64.3559113,416.730225,-3.102372909
60.97379,34.71221,5.00000,3.00000,94.83,0.80952381,-7.11084843,547.18219,65.6080322,421.121185,-2.756961951
21.018344,9.703656,2.00000,1.00000,37.3,0.125,-1.63522196,399.804108,23.5568104,165.112305,-1.050609993
14.943137,12.776863,2.00000,0.00000,20.31,0.75,-1.10045731,333.079468,16.5782223,125.354607,-2.207608311
10.884758,9.433242,2.00000,0.00000,26.3,0.666666667,-0.529740632,316.91452,14.4326439,101.000046,0.071882007
22.365516,17.674484,4.00000,1.00000,49.41,0.666666667,-2.75996065,376.386627,21.1924267,180.60675,-3.886056648
18.307137,14.330863,4.00000,1.00000,55.4,0.6,-2.39166641,348.903625,16.6598988,155.258621,-3.133712661
31.534309,16.787691,4.00000,2.00000,66.4,0.272727273,-3.70231962,463.156708,33.5349655,243.304306,-2.657577319
24.11193,11.89007,2.00000,1.00000,37.3,0.222222222,-1.8023231,443.032318,27.0877323,189.014313,-0.397940009
28.170309,17.149691,2.00000,0.00000,20.31,0.3,-2.7122798,444.450226,32.530117,214.190094,-0.663540266
31.263895,19.336105,2.00000,0.00000,20.31,0.363636364,-2.37110615,520.477234,35.7047653,239.599777,0.356025857
27.205516,15.992484,2.00000,0.00000,26.3,0.3,-1.86566114,500.568665,35.3510361,214.610748,-1.401209493
22.514723,11.365277,1.00000,2.00000,26.02,0.25,-1.04756021,437.020477,26.1879177,167.331345,0.62
21.54993,10.93207,1.00000,1.00000,20.23,0.25,-1.16544008,428.85141,26.4428825,164.766464,0.71
