ExchemGF,PMV,experimental_HFE
2.69E+01,2.09E+02,-2.49
1.60E+01,1.32E+02,-4.72
4.77E+01,3.29E+02,-3.04
2.01E+01,1.62E+02,-4.59
1.73E+01,1.58E+02,-3.82
1.54E+01,1.36E+02,-2.93
2.28E+01,1.61E+02,-0.98
1.42E+01,1.07E+02,-0.74
3.52E+01,2.22E+02,2.89
1.86E+01,1.37E+02,-1.59
3.23E+01,2.43E+02,-3.75
1.57E+01,1.47E+02,-4.55
2.30E+01,1.72E+02,-2.73
1.83E+01,1.32E+02,-0.53
1.78E+01,1.22E+02,-0.25
2.49E+01,1.81E+02,-2.82
2.33E+01,1.81E+02,-5.48
2.44E+01,1.53E+02,2.51
2.93E+01,1.91E+02,-0.64
3.40E+01,2.32E+02,-0.83
2.56E+01,2.45E+02,-7.5
1.82E+01,1.31E+02,-1.99
2.39E+01,2.09E+02,-6.88
4.16E+01,3.12E+02,-3.64
2.09E+01,1.66E+02,-4.84
3.60E+01,2.47E+02,-5.22
3.70E+01,2.99E+02,-9.01
2.44E+01,1.76E+02,-0.83
3.21E+01,2.25E+02,-0.68
3.45E+01,2.56E+02,-3.56
3.39E+01,2.51E+02,-2.49
1.65E+01,1.41E+02,-4.93
3.61E+01,3.05E+02,-8.42
2.05E+01,1.47E+02,-0.99
2.16E+01,1.78E+02,-6.16
3.12E+01,2.35E+02,-2.23
2.65E+01,1.87E+02,-0.53
4.03E+00,5.69E+01,-5.1
1.62E+01,1.34E+02,-4.47
1.09E+01,1.22E+02,-7.17
1.88E+01,1.20E+02,1.38
2.31E+01,1.57E+02,0.29
4.95E+00,1.12E+02,-10.08
7.16E+00,8.41E+01,-2.78
2.38E+01,1.88E+02,-2.49
2.77E+01,1.74E+02,3.43
1.17E+01,1.54E+02,-11
2.78E+01,2.20E+02,-3.15
1.64E+01,1.51E+02,-5.85
2.10E+01,1.81E+02,-6.21
2.75E+01,2.43E+02,-5.71
2.17E+01,1.79E+02,-5.26
2.35E+01,1.69E+02,-1.14
2.91E+01,3.29E+02,-10.03
2.35E+01,1.85E+02,-2.4
1.66E+01,1.20E+02,-2.33
1.28E+01,9.77E+01,-1.14
2.44E+01,1.53E+02,2.38
1.95E+01,1.81E+02,-5.88
2.21E+01,1.76E+02,-2.81
2.45E+01,1.58E+02,1.77
3.52E+01,3.88E+02,-6.5
2.91E+01,1.98E+02,-1.62
1.58E+01,1.13E+02,-1.79
2.10E+01,1.79E+02,-6.79
1.68E+01,1.23E+02,-1.1
2.03E+01,1.51E+02,-0.9
1.88E+01,1.53E+02,-3.41
1.87E+01,1.53E+02,-3.52
2.19E+01,1.52E+02,-1.43
2.92E+01,1.94E+02,0
6.12E+00,1.54E+02,-20.52
2.64E+01,1.69E+02,1.47
1.65E+01,1.33E+02,-4.62
2.26E+01,1.72E+02,-2.38
2.45E+01,2.83E+02,-7.19
2.08E+01,1.30E+02,2.1
3.71E+00,4.35E+01,-0.7
2.55E+01,2.63E+02,-9.73
4.68E+01,3.68E+02,-9.34
8.93E+00,8.06E+01,-4.02
7.37E+00,1.12E+02,-10
6.72E+00,7.80E+01,-3.5
1.66E+01,1.41E+02,-4.61
3.40E+01,2.51E+02,-2.07
1.76E+01,1.21E+02,-0.33
2.83E+01,2.01E+02,-0.9
2.81E+01,2.19E+02,-2.7
1.31E+01,8.05E+01,1.83
2.20E+01,1.62E+02,0.1
2.59E+01,2.02E+02,-3.9
1.75E+01,1.25E+02,-1.5
1.29E+01,1.29E+02,-6.6
1.69E+01,1.05E+02,2
3.82E+01,3.03E+02,-7
3.63E+01,3.20E+02,-10.78
1.84E+01,1.33E+02,-0.46
1.37E+01,1.50E+02,-10.17
2.24E+01,1.80E+02,-5.66
2.28E+01,1.45E+02,1.83
2.87E+00,5.20E+01,-2.75
2.53E+01,1.70E+02,-0.1
3.19E+01,2.23E+02,-0.45
4.41E+01,2.79E+02,3.16
1.38E+01,9.63E+01,-0.63
2.81E+01,1.77E+02,2.51
1.61E+01,1.32E+02,-4.5
2.64E+01,2.09E+02,-3.15
3.24E+01,2.89E+02,-10.21
1.62E+01,1.50E+02,-4.42
1.12E+01,1.10E+02,-2.56
1.74E+01,1.84E+02,-9.51
8.20E+00,8.29E+01,-5
3.45E+01,3.08E+02,-14.21
4.00E+01,2.56E+02,2.55
2.32E+01,1.85E+02,-2.56
2.14E+01,1.80E+02,-6.25
2.32E+01,1.86E+02,-2.64
2.04E+01,1.65E+02,-5.22
2.67E+01,2.04E+02,-2.92
2.44E+01,2.17E+02,-6
8.42E+00,8.61E+01,-4.5
1.85E+01,1.36E+02,-1.66
2.32E+01,2.55E+02,-11.85
1.72E+01,1.46E+02,-4.1
1.67E+01,1.61E+02,-7.66
2.05E+01,1.41E+02,-1.45
2.19E+01,1.67E+02,-1.93
2.26E+01,1.78E+02,-3.28
2.25E+01,1.61E+02,-1.36
2.53E+01,1.71E+02,-1.23
1.59E+01,1.07E+02,0.25
5.69E+01,4.06E+02,-2.45
3.36E+01,2.23E+02,0.34
4.38E+01,4.30E+02,-5.74
2.06E+01,2.35E+02,-16.43
3.18E+01,2.01E+02,2.88
3.00E+01,2.50E+02,-4.52
3.09E+01,2.35E+02,-2.26
3.15E+01,1.98E+02,2.56
2.33E+01,1.88E+02,-5.33
1.87E+01,1.83E+02,-4.8
2.58E+01,2.32E+02,-9.76
1.45E+01,1.50E+02,-9.65
2.62E+01,1.79E+02,-0.78
2.42E+01,1.55E+02,1.23
2.50E+01,2.08E+02,-5.04
4.82E+01,4.07E+02,-7.98
1.70E+01,1.68E+02,-9.8
2.88E+00,1.42E+02,-18.72
1.53E+01,1.57E+02,-10.64
2.38E+01,1.83E+02,-2.22
1.36E+01,1.48E+02,-7.77
1.15E+01,1.61E+02,-9.61
1.50E+01,9.30E+01,0.75
1.61E+01,1.34E+02,-4.01
2.05E+01,1.68E+02,-3.68
2.21E+01,1.49E+02,-0.4
2.24E+01,1.80E+02,-2.4
9.09E+00,9.75E+01,-4.78
4.07E+01,2.93E+02,-3.84
4.10E+01,2.93E+02,-3.37
1.34E+01,1.51E+02,-4.68
2.20E+01,1.64E+02,-1.24
2.00E+01,1.57E+02,-4.39
2.17E+01,1.69E+02,-1.88
1.88E+01,2.11E+02,-9.94
2.12E+01,1.80E+02,-6.13
1.70E+01,1.54E+02,-6.13
1.74E+01,1.56E+02,-6.09
2.52E+01,1.89E+02,-3.65
4.69E+01,3.31E+02,-3.71
1.25E+01,1.16E+02,-4.69
3.15E+01,2.46E+02,-3.78
1.46E+01,1.10E+02,-1.4
1.86E+01,1.20E+02,1.16
1.53E+01,1.08E+02,-1.08
1.16E+01,1.03E+02,-4.31
1.49E+01,9.51E+01,1.32
5.40E+00,8.21E+01,-6.69
2.81E+01,2.00E+02,-0.85
3.20E+01,2.93E+02,-7.65
1.62E+01,1.25E+02,-0.9
3.95E+01,2.49E+02,2.93
1.36E+01,1.16E+02,-2.93
2.49E+01,2.57E+02,-11.14
1.21E+01,1.08E+02,-4.85
2.15E+01,1.79E+02,-5.91
3.92E+01,2.81E+02,-3.64
3.59E+01,2.27E+02,2.88
1.58E+01,1.49E+02,-4.91
2.81E+01,1.99E+02,-0.86
1.63E+01,1.56E+02,-5.53
3.46E+01,3.17E+02,-9.41
1.84E+01,1.85E+02,-4.95
2.17E+01,1.46E+02,0.14
2.44E+01,1.76E+02,-0.8
6.82E+00,1.14E+02,-13.43
1.81E+01,1.85E+02,-7.47
2.64E+01,2.32E+02,-7.78
2.83E+01,2.30E+02,-1.92
1.85E+01,1.35E+02,-2.01
5.11E+01,3.48E+02,-3.17
3.60E+01,2.85E+02,-6.23
3.45E+01,2.53E+02,-2.64
9.56E+00,1.41E+02,-8.61
3.00E+01,2.48E+02,-4.04
2.72E+01,2.37E+02,-5.26
1.23E+01,9.21E+01,-0.11
6.84E-01,1.21E+02,-16.92
3.51E+01,2.56E+02,-3.88
1.81E+01,1.38E+02,-3.12
2.08E+01,1.54E+02,-1.74
2.42E+01,1.82E+02,-3.92
9.77E+00,7.68E+01,-0.77
2.77E+01,1.97E+02,-1.21
2.32E+01,1.98E+02,-4.7
1.87E+01,1.61E+02,-5.94
1.92E+01,1.94E+02,-6.34
3.60E+01,2.50E+02,-0.23
2.36E+01,1.81E+02,-4.4
3.12E+01,2.36E+02,-2.11
2.63E+01,2.02E+02,-3.04
2.21E+01,1.92E+02,-4.59
3.13E+01,2.31E+02,-4.09
2.15E+01,1.46E+02,-0.16
1.94E+01,1.83E+02,-8.11
1.84E+01,1.54E+02,-4.91
2.44E+01,1.95E+02,-3.28
2.73E+01,2.11E+02,-2.28
3.82E+01,2.44E+02,2.06
3.02E+01,2.28E+02,-2.82
1.16E+01,1.34E+02,-6.5
2.59E+01,1.74E+02,-0.1
2.58E+01,1.88E+02,-1.24
1.98E+01,1.35E+02,-0.19
1.19E+01,8.79E+01,-1.31
1.50E+01,1.25E+02,-2.89
1.44E+01,1.59E+02,-8.84
2.93E+01,2.18E+02,-1.66
1.84E+01,1.86E+02,-7.28
1.07E+01,1.04E+02,-3.8
1.50E+01,1.32E+02,-4.7
2.05E+01,1.80E+02,-3.92
1.53E+01,1.47E+02,-4.02
2.48E+01,2.06E+02,-3.64
4.37E+01,3.12E+02,-4.15
2.55E+01,1.80E+02,-1.24
1.13E+01,1.11E+02,-3.13
1.61E+01,1.14E+02,-0.84
2.73E+01,2.05E+02,-2.74
1.80E+01,1.54E+02,-5.9
2.49E+00,1.35E+02,-18.17
2.27E+01,1.45E+02,1.68
3.20E+01,2.02E+02,2.93
1.77E+01,1.74E+02,-7.58
3.45E+01,2.56E+02,-3.67
3.52E+01,2.22E+02,2.56
2.18E+01,2.06E+02,-9.29
1.85E+01,1.53E+02,-4.12
1.54E+01,1.63E+02,-7.48
2.88E+01,1.98E+02,-1.34
3.23E+01,2.25E+02,0.16
1.67E+01,1.42E+02,-4.63
1.51E+01,1.34E+02,-4.39
1.96E+01,1.34E+02,0.01
1.14E+01,1.03E+02,-3.84
3.82E+00,1.31E+02,-15.83
1.01E+01,8.13E+01,-0.89
2.59E+01,2.54E+02,-9.53
4.01E+01,2.54E+02,3.13
2.05E+01,1.72E+02,-6.79
9.94E+00,7.07E+01,-0.55
2.00E+01,1.96E+02,-4.97
1.45E+01,1.05E+02,-1.17
3.53E+01,2.65E+02,-2.78
1.81E+01,1.33E+02,-0.8
2.39E+01,1.73E+02,-1.39
1.99E+01,1.39E+02,-0.11
2.27E+01,1.61E+02,-1.01
2.80E+01,1.77E+02,2.34
2.08E+01,1.68E+02,-4.59
9.56E+00,1.99E+02,-23.62
2.31E+01,1.70E+02,-4.23
2.15E+01,2.10E+02,-9.2
2.26E+01,2.14E+02,-7.63
1.73E+01,1.48E+02,-4.1
1.75E+01,1.42E+02,-4.84
4.70E+00,8.54E+01,-9.3
3.05E+01,2.17E+02,1.07
2.52E+01,2.05E+02,-5.21
1.91E+01,1.65E+02,-6.4
4.90E+01,3.29E+02,-2.55
2.58E+01,1.94E+02,-3.54
2.99E+01,2.25E+02,-2.29
1.98E+01,1.38E+02,-1.27
3.14E+01,2.01E+02,1.58
3.36E+01,2.30E+02,0.27
3.03E+01,1.93E+02,1.66
2.15E+01,1.80E+02,-6.01
1.73E+01,1.56E+02,-6.16
3.52E+01,2.35E+02,-2.33
8.42E+00,1.09E+02,-4.87
2.18E+01,1.93E+02,-6.96
1.21E+01,1.31E+02,-5.49
2.09E+01,1.67E+02,-4.59
1.92E+01,1.51E+02,-3.52
2.29E+01,1.83E+02,-2.13
2.72E+01,1.83E+02,0.6
3.46E+01,2.79E+02,-5.23
3.60E+01,3.09E+02,-6.78
1.43E+01,1.42E+02,-5.99
2.14E+01,1.51E+02,-1.46
2.21E+01,2.48E+02,-11.53
3.02E+01,2.32E+02,-4.09
1.35E+01,1.37E+02,-6.02
2.94E+01,2.00E+02,-1.28
1.85E+01,1.41E+02,-3.3
1.47E+01,1.57E+02,-4.58
1.61E+01,1.64E+02,-6.12
4.31E+01,3.47E+02,-5.66
2.74E+01,2.07E+02,-4.21
2.40E+01,1.79E+02,-1.46
3.06E+01,2.31E+02,-2.63
1.64E+01,1.09E+02,0.56
2.39E+01,1.81E+02,-3.73
2.07E+01,1.29E+02,2.3
2.51E+01,2.50E+02,-9.84
1.68E+01,1.58E+02,-5.45
8.96E+00,7.21E+01,-1.2
3.06E+01,2.30E+02,-2.4
1.41E+01,1.58E+02,-5.73
5.20E+01,3.98E+02,-7.43
2.28E+01,1.61E+02,-2.32
2.65E+01,1.69E+02,1.58
1.74E+01,1.54E+02,-6.62
2.14E+01,1.83E+02,-3.45
2.22E+01,1.75E+02,-3.11
2.22E+01,1.61E+02,-1.12
3.10E+01,2.37E+02,-3.1
1.92E+01,1.60E+02,-2.83
3.63E+01,3.97E+02,-6.48
2.82E+01,2.00E+02,-0.3
2.46E+01,1.54E+02,2.3
6.24E+01,4.08E+02,-2.98
2.83E+01,2.26E+02,-5.91
2.70E+01,2.10E+02,-2.21
3.05E+01,2.28E+02,-2.78
2.15E+01,1.39E+02,2.93
1.02E+01,1.16E+02,-8.41
2.05E+01,1.75E+02,-4.42
4.05E+01,2.94E+02,-3.81
1.63E+01,1.57E+02,-5.57
1.83E+01,1.45E+02,-2.55
3.86E+01,2.74E+02,-2.16
4.59E+01,3.15E+02,-1.96
2.03E+01,1.81E+02,-5.21
2.52E+01,2.39E+02,-11.01
3.40E+01,2.50E+02,-2.53
1.47E+01,1.27E+02,-2.86
-3.59E-01,3.36E+01,-4.29
3.06E+01,2.30E+02,-2.47
2.47E+01,1.60E+02,1.01
8.80E+00,8.62E+01,-4.29
2.48E+01,2.19E+02,-9.86
8.50E+00,1.15E+02,-10.27
2.21E+01,1.78E+02,-3.58
1.97E+01,2.09E+02,-5.73
1.97E+01,1.57E+02,-4.57
1.13E+01,1.33E+02,-5.1
1.19E+01,1.14E+02,-6.62
2.45E+01,1.57E+02,1.59
1.97E+01,1.71E+02,-5.72
2.26E+01,1.89E+02,-6.25
4.01E+01,2.76E+02,-0.04
2.36E+01,1.87E+02,-2.44
2.47E+01,1.77E+02,-1.64
1.91E+01,1.86E+02,-5.8
2.79E+01,1.75E+02,2.51
1.42E+01,1.59E+02,-7.37
2.22E+01,1.44E+02,0.1
1.97E+01,1.56E+02,-4.42
1.68E+01,1.41E+02,-4.77
2.10E+01,1.56E+02,-3.09
2.62E+01,2.64E+02,-9.4
2.37E+01,1.84E+02,-3.95
2.81E+01,2.17E+02,-3.43
1.33E+01,1.59E+02,-9.82
1.12E+01,7.01E+01,1.28
3.02E+01,2.31E+02,-2.87
1.20E+01,1.65E+02,-8.7
1.93E+01,1.72E+02,-4.27
2.08E+01,1.50E+02,-2.37
2.64E+01,2.50E+02,-8.68
2.89E+01,2.80E+02,-8.84
2.55E+01,2.35E+02,-9.37
1.18E+01,1.37E+02,-7.1
2.16E+01,1.47E+02,0
-6.06E+00,1.05E+02,-18.06
3.17E+01,2.35E+02,-3.65
2.99E+01,2.06E+02,0.08
1.54E+01,1.49E+02,-5.82
9.89E+00,9.75E+01,-5.56
2.20E+01,1.49E+02,-0.03
1.59E+01,1.28E+02,-4.16
4.23E+01,2.97E+02,-2.28
2.03E+01,1.65E+02,-4.73
1.71E+01,1.39E+02,-5.11
2.22E+01,2.03E+02,-4.4
1.71E+01,2.43E+02,-12.74
3.62E+01,3.19E+02,-6.68
1.61E+01,1.63E+02,-8.26
2.90E+01,2.13E+02,1.07
1.98E+01,1.29E+02,0.08
3.52E+01,2.56E+02,-2.46
2.13E+01,1.64E+02,-3.88
2.87E+01,2.34E+02,-3.95
3.23E+01,2.07E+02,2.13
2.85E+01,2.02E+02,-0.53
3.21E+01,2.38E+02,-1.69
1.31E+01,1.16E+02,-5.48
1.28E+01,8.76E+01,-0.59
1.26E+01,1.18E+02,-4.22
3.34E+01,3.88E+02,-7.07
2.56E+01,1.70E+02,0.67
2.80E+01,2.14E+02,-2.49
3.16E+01,2.83E+02,-9.61
1.08E+01,1.02E+02,-3.43
1.32E+01,1.09E+02,-2.49
5.15E+01,3.49E+02,-4.4
2.92E+01,2.29E+02,-6.44
4.22E+00,5.99E+01,-4.55
1.08E+01,1.22E+02,-8.18
4.96E+01,3.48E+02,-3.44
1.28E+01,1.20E+02,-5.06
2.11E+01,1.78E+02,-6.5
1.36E+01,8.48E+01,3.12
1.56E+01,1.63E+02,-7.62
2.90E+01,1.98E+02,-1.34
2.82E+01,1.78E+02,2.48
2.42E+01,2.02E+02,-1.29
1.54E+01,1.36E+02,-2.02
2.08E+01,2.18E+02,-9.13
3.58E+01,2.26E+02,2.97
1.44E+01,1.11E+02,-2.1
1.11E+01,1.17E+02,-6.55
1.34E+01,1.27E+02,-4
4.33E+01,3.18E+02,-2.49
1.54E+01,1.37E+02,-2.94
2.71E+01,2.11E+02,-3.3
1.96E+01,1.63E+02,-2.64
2.09E+01,1.68E+02,-4.33
2.11E+01,1.80E+02,-6.27
1.99E+01,1.59E+02,-5.46
1.04E+01,8.49E+01,-1.91
2.86E+01,2.34E+02,-3.88
1.99E+01,1.83E+02,-7.67
2.16E+01,1.47E+02,1.09
1.61E+01,1.47E+02,-7.03
1.60E+01,1.11E+02,-0.57
2.82E+01,1.78E+02,2.51
1.99E+01,1.60E+02,-4.09
2.33E+01,1.69E+02,-2.3
3.32E+01,2.20E+02,0.29
5.38E+01,3.89E+02,-3.25
1.60E+01,1.58E+02,-9.62
2.77E+01,2.10E+02,-3.79
1.41E+01,1.37E+02,-5.29
1.86E+01,1.84E+02,-9.31
2.02E+01,1.57E+02,-4.35
3.07E+01,2.38E+02,-3.52
-6.75E-01,4.56E+01,-9.3
1.95E+01,1.57E+02,-2.45
2.27E+01,1.79E+02,-3.45
4.26E+01,3.61E+02,-5.04
1.25E+01,1.09E+02,-4.74
2.57E+01,1.97E+02,-0.8
2.78E+01,2.18E+02,-5.18
4.17E+01,3.01E+02,-2.15
1.49E+01,2.14E+02,-12.64
2.40E+01,2.12E+02,-5.33
2.47E+01,2.34E+02,-11.95
2.25E+01,1.94E+02,-5.31
1.92E+01,1.60E+02,-2.22
2.82E+01,2.45E+02,-7.78
2.47E+01,2.04E+02,-6.92
1.92E+01,1.72E+02,-4.58
7.40E+00,7.86E+01,-3.88
2.68E+01,1.88E+02,-1.16
1.55E+01,1.63E+02,-7.29
1.95E+01,1.62E+02,-2.79
1.71E+01,1.21E+02,-2.13
1.97E+01,1.47E+02,-1.46
3.46E+01,2.58E+02,-2.04
1.95E+01,1.43E+02,-1.12
2.41E+01,1.81E+02,-3.88
1.84E+01,1.24E+02,-0.44
3.18E+01,2.42E+02,-4.51
1.28E+01,1.51E+02,-9.52
1.70E+01,1.25E+02,-1.83
1.83E+01,1.25E+02,-0.56
1.53E+01,9.91E+01,1.79
4.35E+00,8.81E+01,-9.63
5.21E+01,4.50E+02,-6.1
9.50E+00,1.07E+02,-6.46
1.62E+01,1.17E+02,-1.95
2.22E+01,1.51E+02,0.84
1.72E+01,1.58E+02,-4.69
2.23E+01,1.44E+02,1.31
4.99E+00,1.57E+02,-15.46
2.58E+01,1.80E+02,-1.12
5.37E+01,3.85E+02,-3.51
2.61E+01,2.00E+02,-2.67
3.30E+01,2.39E+02,-3.24
2.20E+01,1.71E+02,-1.82
3.15E+01,2.21E+02,-0.44
2.94E+01,2.61E+02,-8.72
2.87E+01,2.18E+02,-5.73
1.95E+01,1.62E+02,-2.68
2.42E+01,1.82E+02,-4.06
1.95E+01,1.55E+02,-4.42
1.16E+01,1.50E+02,-8.83
2.07E+01,1.33E+02,1.2
8.87E+00,1.12E+02,-7.81
2.73E+00,8.53E+01,-9.71
2.46E+01,2.48E+02,-9.44
1.66E+01,1.47E+02,-6.62
4.69E+01,3.41E+02,-4.82
1.09E+01,9.79E+01,-5.03
4.49E+01,3.64E+02,-8.21
2.41E+01,1.74E+02,-0.79
3.56E+01,2.60E+02,-4.45
1.61E+01,1.16E+02,0.06
2.32E+01,2.37E+02,-10.22
1.35E+01,1.32E+02,-6.35
5.51E+01,3.68E+02,-4.61
1.53E+01,1.26E+02,-3.64
1.17E+01,8.46E+01,-0.48
4.83E+01,3.30E+02,-4.38
1.12E+01,8.52E+01,-0.5
1.31E+01,1.07E+02,-3.71
3.54E+01,2.55E+02,-3.2
2.27E+01,1.78E+02,-3.05
1.69E+01,1.38E+02,-4.07
7.03E+00,1.10E+02,-9.4
3.19E+01,2.01E+02,2.83
2.53E+01,1.88E+02,-3.22
3.04E+01,1.95E+02,1.68
1.86E+01,1.52E+02,-3.03
2.71E+01,2.11E+02,-2.51
3.08E+01,2.07E+02,0.71
2.59E+01,1.81E+02,-0.14
1.48E+01,1.36E+02,-6.19
1.52E+01,1.47E+02,-6.32
1.46E+01,1.27E+02,-3.18
6.40E+00,1.07E+02,-9.28
2.37E+01,1.87E+02,-2.36
3.22E+01,2.03E+02,2.67
3.16E+01,1.99E+02,2.52
1.79E+01,1.27E+02,0.5
1.74E+01,1.54E+02,-5.49
2.53E+01,1.88E+02,-3.22
4.23E+01,3.15E+02,-4.13
1.52E+01,1.49E+02,-5.9
1.87E+01,1.53E+02,-3.24
2.05E+01,1.66E+02,-4.82
1.52E+01,1.35E+02,-2.48
1.37E+01,1.37E+02,-6.75
2.00E+01,1.33E+02,0.68
2.21E+01,1.56E+02,-0.25
2.28E+01,1.68E+02,-2.92
1.69E+01,1.59E+02,-6.2
2.07E+01,1.96E+02,-6.4
1.17E+01,1.37E+02,-7
3.23E+01,2.25E+02,-0.4
2.34E+01,1.71E+02,-0.25
4.51E+01,3.12E+02,-3.61
3.71E+01,2.75E+02,-4.05
2.06E+01,1.67E+02,-4.86
1.43E+01,1.15E+02,-3.47
1.95E+01,1.71E+02,-3.93
1.84E+01,1.22E+02,0.56
1.66E+01,1.37E+02,-5.49
4.54E+01,3.97E+02,-8.15
1.25E+01,1.32E+02,-5.51
1.04E+01,7.46E+01,-0.82
2.36E+01,1.56E+02,0.4
2.69E+01,2.48E+02,-9.45
3.76E+01,2.49E+02,0.52
1.73E+01,1.34E+02,-1.1
2.15E+01,1.69E+02,-2.09
8.23E+00,5.97E+01,-0.22
9.34E+00,5.56E+01,2
1.38E+01,9.98E+01,-1.61
2.77E+01,1.78E+02,1.7
2.25E+01,1.45E+02,1.31
1.13E+01,1.31E+02,-6.72
1.57E+01,1.10E+02,-0.16
3.15E+01,2.02E+02,2.11
1.22E+01,1.11E+02,-4.39
3.41E+01,2.18E+02,1.92
8.51E+00,1.22E+02,-4.87
1.27E+01,1.12E+02,-3.2
2.09E+01,1.35E+02,0.93
1.31E+01,9.61E+01,-1.96
1.97E+01,1.65E+02,-7.29
3.23E+01,3.37E+02,-6.74
2.98E+01,1.99E+02,0.18
3.02E+01,2.27E+02,-2.88
2.64E+01,2.04E+02,-2.44
1.82E+01,1.26E+02,-0.48
4.03E+01,3.28E+02,-4.37
2.41E+01,1.75E+02,-0.9
2.08E+01,1.67E+02,-4.72
4.17E+01,2.93E+02,-3.48
9.01E+00,1.23E+02,-7.4
7.88E+00,1.84E+02,-25.47
2.19E+00,1.31E+02,-17.74
2.81E+01,2.25E+02,-3.35
4.49E+01,3.36E+02,-4.23
3.78E+01,2.76E+02,-2.34
1.89E+01,1.37E+02,-1.89
1.50E+01,1.40E+02,-6.69
3.25E+01,2.39E+02,-4.44
1.70E+01,1.32E+02,-3.13
1.70E+01,1.31E+02,-3.34
1.89E+01,1.37E+02,-1.38
3.16E+01,2.38E+02,-2.69
1.93E+01,1.48E+02,-0.99
1.62E+01,1.35E+02,-4.24
2.34E+01,1.84E+02,-4.71
2.44E+01,2.10E+02,-4.29
2.23E+01,1.60E+02,-2.21
5.34E+01,3.71E+02,-4.53
2.03E+01,1.58E+02,-4.43
3.19E+01,2.01E+02,2.71
3.61E+01,2.60E+02,-4.78
1.54E+01,1.05E+02,-0.78
2.85E+01,2.01E+02,-0.95
1.43E+01,1.00E+02,-0.74
2.88E+01,2.01E+02,-1.21
1.59E+01,1.28E+02,-4.2
